날짜, 1시 , 2시 , 3시 , 4시 , 5시 , 6시 , 7시 , 8시 , 9시 , 10시 , 11시 , 12시 , 13시 , 14시 , 15시 , 16시 , 17시 , 18시 , 19시 , 20시 , 21시 , 22시 , 23시 , 24시 
2023-10-10,1059.7,1045.4,1051.7,1086.9,1101.2,1121.8,1108.3,1147.7,1228,1285.3,1285.9,1288.7,1277.3,1278.9,1175.5,1173,1072,1053.1,1065.3,1061.1,1044.6,1027.5,1015.9,1010.7
2023-10-11,1010.7,1007.4,1013.6,1016.6,1020.5,1043.1,1036.6,1060.6,1132.3,1197.6,1268.6,1253.9,1242.2,1249.1,1220.1,1178.3,1122,1042.8,1034.1,1032.6,1029.6,1022.1,1018.3,1017.1
2023-10-12,1016.1,992.3,1017.8,1027.4,1031,1035.5,1036.3,1073.5,1152.4,1223.6,1266.2,1284.7,1274.2,1278.5,1255.7,1207.5,1130.1,1036.2,1040.6,1045.4,1037.2,1028.8,1018.7,1020.1
2023-10-13,1025,1025.3,1026.1,1028.2,1034.7,1056.6,1046.3,1067.2,1096.2,1150.8,1170.3,1196.8,1233.2,1192.5,1168.8,1084.4,1032.8,1010.2,1011.6,1015.6,1009.1,1004.4,1001,998.6
2023-10-14,1002.4,1003.1,1002.1,1001.3,1002.3,1006.3,1012.5,1046,1125.7,1198.6,1248.4,1262.9,1215.4,1194,1243.8,1208,1120.5,1043.2,1039.4,1059.8,1071.1,1079.4,1072.8,1085.7
2023-10-15,1084.5,1084.5,1081.2,1071.2,1066.5,1090.8,1071.4,1082.6,1155.3,1227.6,1232,1233.6,1252.3,1248.8,1203.7,1212.8,1177.6,1093.8,1109.3,1113.3,1087.6,1058.4,1039.1,1032.2
2023-10-16,1031.4,1036.3,1031.4,1034.6,1057.8,1102.5,1111.3,1139.7,1171.9,1243.8,1280,1308.5,1285.4,1293,1304.2,1294.7,1235.2,1158.7,1166.4,1179.3,1171.2,1182.7,1177.3,1167.7
2023-10-17,1140.9,1133.2,1142.2,1142.4,1134.2,1157.1,1135.1,1149.2,1278.3,1314.1,1297,1292.6,1279.2,1270.5,1271.6,1235.6,1189.3,1394.9,1393.8,1400.7,1388.9,1379.7,1368.8,1356.3
2023-10-18,1353.8,1352.1,1347.9,1305.7,1301,1298,1300.3,1331.7,1419.2,1482.5,1518.3,1548.4,1557.9,1548,1504.4,1415.1,1347.2,1282.9,1279.2,1287.6,1314,1344,1341.3,1313.6
2023-10-19,1150,1144.8,1144.7,1122.7,1098.5,1095.6,1094.4,1125.1,1206,1279.7,1312.3,1327,1311.4,1287,1257.5,1202.8,1151.7,1096.4,1091.2,1095.3,1095.8,1098.5,1023.7,1086.1
2023-10-20,1061.5,1123.4,1188,1207.7,1250.5,1285.4,1287.5,1252.5,1293.1,1345.8,1317.3,1339.2,1404.5,1412.8,1414.4,1415.3,1358.4,1282,1288.9,1300,1279,1281.8,1281.7,1284.6
2023-10-21,1265.8,1244.6,1244.8,1232.5,1231.1,1226.6,1212.5,1225.1,1299.7,1378.2,1410.5,1410.1,1404.4,1394.5,1398.2,1378.9,1291.3,1197.6,1192,1201.2,1196.9,1171.1,1153.3,1145.5
2023-10-22,1148.1,1144.2,1145.2,1146.2,1137.7,1140.4,1134.9,1157.1,1247.3,1328.5,1336.6,1358.8,1371.1,1339.8,1298.5,1218.2,1135.6,1109.5,1120,1124.1,1115.6,1103.7,1101.1,1097
2023-10-23,1052.2,1051.1,1053.9,1051.7,1049.9,1056,1051.6,1079.1,1175.7,1250.8,1299.6,1313.9,1298.1,1254.6,1228.3,1178.2,1108.6,1050.4,1045.7,1052.3,905.9,902.8,901,901.8
2023-10-24,899.9,899.1,979.8,1050.4,1051.5,1051,1051.2,1073.4,1132,1237.9,1251.7,1242.6,1270.9,1274,1233.3,1151.5,1080.3,1043.2,1041.3,1047,1051.2,1048.5,1046.7,1046.8
2023-10-25,1047.5,1047.7,1047.7,1047,1047.7,1051.6,1049.9,1073.1,1155.8,1224.7,1267.4,1288.5,1303.3,1254.7,1190.6,1164.3,1092.7,1038.9,1039.1,1055,1047.4,1048.2,1047.4,1047.9
2023-10-26,1047.9,1048.9,1049.8,1054,1056.1,1060,1057.9,1075.3,1142.5,1149.9,1239.9,1291.1,1276.9,1236.3,1225.5,1186,1116.9,1054.4,1104.7,1143.1,1147.1,1143,1138.2,1124.1
2023-10-27,1008.4,1005.1,1017.2,1051.1,1094.9,1106.1,1097.5,1107.7,1196.6,1295.6,1289,1278.2,1261.7,1256.3,1256.9,1271.2,1259.1,1163.6,1168.8,1145.2,1100.2,1084.5,1077.5,1063.8
2023-10-28,1039.3,1039.5,1038.8,1023,1026,1037.5,1042.2,1041.1,1121.7,1198.2,1236.8,1247.2,1239.4,1225.4,1208.2,1165,1070,1009.1,1032.6,1046.2,1038,1024.6,1016.1,1001
2023-10-29,992.2,986.9,984.7,983.4,980.8,988.7,981.9,1001.6,1090.8,1178.1,1225.5,1224.7,1209.8,1195,1146.2,1082.9,1027.5,979.6,977.7,982.7,983.4,984.3,980.8,978.4
2023-10-30,978,977.7,978.1,978.9,980.1,979.2,980.4,999.3,1088.3,1160.1,1191,1216.6,1210.5,1172.9,1138,1095.1,1029.3,976.4,975.9,976.6,978.3,977.6,976.7,976.1
2023-10-31,980.8,982.2,980.9,979.9,979.9,981.9,979.9,1000.2,1093.3,1176.1,1225.4,1254.3,1253.5,1242.4,1194.8,1180,1091.4,1027.6,1026.5,1033.7,1033.8,1033.8,1032.3,1032.5
2023-11-01,1030.9,1032.7,1029.3,1027.2,1030.8,1039.7,1034.2,1050.6,1131.7,1186.9,1217.7,1243.8,1259.5,1244.2,1204.6,1135.7,1033.4,949.5,964.9,966,965.7,971.1,977.9,979.7
2023-11-02,924.5,915,912,918.2,926.9,911.6,897.4,925.7,1011.7,1093.5,1145.6,1175.8,1190.1,1193.3,1160.6,1120.6,1045.2,1027.1,1054.7,1066.6,1054.5,1058.9,1078.1,1074.2
2023-11-03,1067.3,1068.1,1067.5,1062.4,1044,1046.5,1033.7,1044.9,1120.1,1195.2,1238.1,1249.6,1248.3,1219,1183.6,1122.4,1040,999.5,1054.1,1063.7,1056,1052.5,1058.1,1065.4
2023-11-04,1062.5,1062.7,1058.3,1054.3,1051.3,1059.5,1053.1,1065.7,1191.7,1247.1,1272.2,1248.6,1233.3,1217.6,1214.8,1190.6,1149.7,1107.8,1122.6,1137.9,1132.1,1122,1121.9,1131.2
2023-11-05,1134.3,1134.1,1143.6,1166.7,1164.5,1190.7,1180.9,1169.4,1183.4,1193.4,1245.9,1242.5,1253.1,1295.7,1304.6,1304.6,1268.1,1230.4,1279.1,1285,1265.1,1280.7,1290.4,1274.5
2023-11-06,1170.1,1170.7,1160.6,1186.4,1141,1131.1,1106.5,1134,1192.9,1242.9,1225.7,1197.1,1218.5,1226,1229.7,1227,1212.9,1192.8,1208.8,1208.1,1199.1,1187.6,1174,1172.6
2023-11-07,1161,1135,1133.8,1106.9,1135.1,1153,1146,1146.7,1220.3,1310,1336.1,1330.1,1318.6,1304.8,1268.8,1199.2,1090.4,1021,1040.8,1030,1030.3,1035,1028.4,1019.1
2023-11-08,1029.1,1029.9,1033.1,1012.3,1006,1027.4,1020.8,1015.7,1058.4,1121.2,1188.5,1238.7,1242.3,1221,1183.4,1117.8,1009.6,962.9,970.5,968.9,988.2,993.6,986.1,986.8
2023-11-09,984.7,987.2,990.8,995.3,995.9,1001.6,1000.6,1004.4,1060.4,1109.1,1135.7,1132.2,1060.5,982.4,960.2,953.2,960.4,974.2,999.1,992.6,998.6,1002.8,1030.2,1032.6
2023-11-10,1025,1020.9,1044,1120.8,1195.5,1232.6,1236,1222.4,1264.9,1309,1327.5,1359.4,1325.8,1361.1,1310.8,1357.5,1335.3,1288.8,1315.5,1309.5,1333.7,1321.5,1321.8,1295.2
2023-11-11,1051.5,1052.1,1036.7,1033.5,1031.7,1009.5,993.9,1244,1323.2,1432.3,1469,1450.3,1441.7,1465,1453.4,1401.1,1327.7,1302.7,1318.6,1316.2,1293.3,1290.7,1282,1292.3
2023-11-12,1307.8,1301.5,1292.1,1299.7,1299,1298,1269.4,1251.8,1249.2,1303.8,1313.5,1359.2,1388.9,1330.9,1322.5,1309.1,1290.4,1292.4,1284.4,1284,1279.7,1260.4,1281,1282.3
2023-11-13,1272.2,1260.6,1251.2,1267.3,1251.5,1271.7,1271.3,1291.3,1362,1416,1454.7,1516.4,1494.7,1300.3,1351.9,1289,1216.4,1192.8,1184.2,1196,1181.1,1169.4,1161.9,1161.2
2023-11-14,1157.3,1158.5,1160.9,1158.2,1154.1,1160.5,1148.9,1150.2,1188.5,1252.1,1302.1,1273.5,1250.1,1264.4,1245.4,1245.9,1178.6,1153.2,1151.9,1142,1123.5,1144.2,1135.8,1129
2023-11-15,1128.2,1131.4,1136.3,1147,1145.9,1154.3,1151,1160.4,1211.6,1293.3,1358.3,1415.3,1392.2,1348.3,1140.5,971.3,1187.8,1142.4,1164,1163.7,1154.5,1136.1,1130.2,1110.5
2023-11-16,1122.8,1123.1,1123.6,1123.8,1128.7,1128.4,1135,1154.6,1192.3,1183.6,1188.5,1232.6,1247.3,1271.3,1307.8,1336.6,1330.9,1312.2,1262.5,1276.6,1294.2,1278.1,1251.1,1233.9
2023-11-17,1249.4,1271.5,1265.8,1318.3,1315.9,1284.5,1263.5,1239.1,1224.9,1319.3,1401.4,1430.9,1346.6,1303.2,1290.9,1287.8,1286.5,1282.5,1275.6,1265.8,1237.1,1261,1274.2,1264.6
2023-11-18,1246.2,1243.2,1247.6,1251.9,1224.8,1232.6,1245.1,1268.8,1314.9,1367.2,1349.4,1308.4,1318.3,1283.3,1273.5,1238.3,1210.1,1192.8,1228.1,1241.3,1194.2,1150.9,1157.3,1146.8
2023-11-19,1151.9,1142.4,1144,1138.7,1127.8,1147.4,1116.7,1121.6,1172.2,1259.3,1317,1366.4,1384.9,1395.5,1372.9,1298.9,1188.6,1136.6,1143,1154.9,1151.8,1139,1142.1,1143.3
2023-11-20,1138,1126.6,1123.6,1122.7,1126.1,1143.8,1147.5,1175.3,1248.9,1342.5,1393.1,1419.6,1425.5,1406.9,1365.7,1278.1,1152.1,1102.4,1115.2,1110.3,1096,1083.6,1075.9,1073.5
2023-11-21,1073.6,1074.5,1075,1075.5,1074.9,1077.4,1077.1,1085,1147.9,1231.8,1293.4,1338.9,1337.5,1306.3,1260.3,1184.1,1157.3,1122.8,1122.4,1128.3,1126.9,1126.7,1126.9,1120.9
2023-11-22,1076.5,1064.1,1031.7,1029.8,1027.7,1033.8,1028.2,1029.6,1084.1,1189.1,1227.1,1158,1298.1,1284.5,1245.4,1167.7,1085.2,1082.1,1086,1088.8,1119.6,1140.1,1144.9,1163.6
2023-11-23,1142.1,1152.2,1149.8,1136.5,1103.1,1106.4,1096.8,1101,1134.1,1188.9,1267.8,1299.6,1297.9,1284.4,1271.3,1228.7,1224.4,1273.3,1293.4,1244.7,1267.3,1306.3,1288.8,1293.4
2023-11-24,1261,1266.4,1268.6,1269.5,1277.4,1292.9,1299.4,1303.7,1331.9,1368.3,1391.9,1400.4,1399.7,1373.5,1368,1344.5,1317.9,1301.9,1365.2,1357.4,1342.4,1321.6,1291.2,1292.9
2023-11-25,1295.7,1301.4,1307.5,1290.8,1304.7,1323.8,1315.4,1302.5,1278.5,1332.1,1384.5,1424.2,1402.7,1361.5,1278.3,1214.3,1140.4,1103.1,1112.9,1107.7,1098.1,1088.3,1083.3,1079.8
2023-11-26,1077.2,1077.1,1076.9,1079.5,1085.6,1095.4,1088.7,1106.4,1157.7,1249.9,1309.7,1339.9,1345,1313.6,1253.3,1214.4,1164.8,1127,1125.3,1134.2,1140.3,1134.8,1138.8,1144.3
2023-11-27,1141.1,1148.4,1150.1,1137.8,1126.1,1139.4,1147.9,1152.1,1179.1,1193.5,1218.7,1340.4,1397.9,1425.9,1436.1,1366.7,1274.8,1268.6,1253,1224.1,1213.2,1215,1200.7,1202.9
2023-11-28,1198.7,1210.9,1222.2,1159.8,1161.7,1190.5,1210.4,1221.5,1217.7,1256,1296.2,1317.1,1376,1404.5,1408.3,1363.6,1251.2,1179.4,1158,1177.2,1151.2,1132.3,1129.2,1150.3
2023-11-29,1136.1,1140.6,1134.1,1136,1144.3,1144.8,1134.4,1134.8,1178.5,1242.2,1223.7,1245.6,1253.1,1219.1,1165.2,1120.9,1085.9,1092.6,1175.9,1232.1,1272.9,1305.7,1320,1324
2023-11-30,1330.8,1340.8,1304,1320.3,1325.4,1342.5,1357.9,1347.4,1329.8,1331.7,1310.7,1292.4,1290.9,1287.4,1291.3,1325.5,1309.7,1285.4,1282.6,1256.8,1223.6,1182.7,1178.5,1184.5
